"COMPETENCY","COURSE","MEASURE","Assignment Sent"
"Natural Sciences","BIOL 286","05) A short written report (1 to 2 pages in length)",NA
"Culture","MUSI 262","13) A student performance",NA
"Communication - Oral","COMM 105","06) A medium written report (3 to 9 pages in length)",NA
"Culture","HIST 230","02) A constructed response exam (short answer, essay, etc.)",NA
"Culture","HIST 390","02) A constructed response exam (short answer, essay, etc.)",NA
"Natural Sciences","CHEM 122","09) A laboratory report",NA
"Self and Society","ECON 221","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Self and Society","ECON 222","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Collaboration","HVAC 499","11) A capstone project",NA
"Communication - Written","HVAC 499","11) A capstone project",NA
"Problem Solving","HVAC 499","11) A capstone project",NA
"Culture","PHIL 120","08) A student project",NA
"Culture","PHIL 216","02) A constructed response exam (short answer, essay, etc.)",NA
"Culture","PHIL 320","06) A medium written report (3 to 9 pages in length)",NA
"Culture","PHIL 350","02) A constructed response exam (short answer, essay, etc.)",NA
"Diversity - Understanding Race, Ethnicity, and Gender","COMM 366","06) A medium written report (3 to 9 pages in length)",NA
"Self and Society","COMM 366","06) A medium written report (3 to 9 pages in length)",NA
"Culture","PHIL 115","06) A medium written report (3 to 9 pages in length)",NA
"Culture","PHIL 204","06) A medium written report (3 to 9 pages in length)",NA
"Culture","PHIL 220","06) A medium written report (3 to 9 pages in length)",NA
"Quantitative Literacy","MATH 115","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Quantitative Literacy","MATH 114","05) A short written report (1 to 2 pages in length)",NA
"Natural Sciences","PHYS 242","09) A laboratory report",NA
"Quantitative Literacy","MATH 220","02) A constructed response exam (short answer, essay, etc.)",NA
"Quantitative Literacy","MATH 110","02) A constructed response exam (short answer, essay, etc.)",NA
"Quantitative Literacy","MATH 220","02) A constructed response exam (short answer, essay, etc.)",NA
"Quantitative Literacy","MATH 130","02) A constructed response exam (short answer, essay, etc.)",NA
"Collaboration","EDUC 435","13) A student performance",NA
"Collaboration","EDUC 431","08) A student project",NA
